rank,candidate,total_uJ,MAC Array,ACC,Scratchpad,Control Logic,command_count,schedule_cycles,spad_bytes,mesh_tile_passes,acc_read_chunks,acc_write_chunks,acc_rmw_chunks,acc_data_component_uJ,acc_active_hierarchy_component_uJ
13,2,13.427487901133713,1.3320876875355898,2.7219168177097344,5.758976,3.6145073958883884,3778.0,4291.0,303104.0,512.0,768.0,512.0,3584.0,0.014640142997333749,2.7072766747124004
14,4,13.427487901133713,1.3320876875355898,2.7219168177097344,5.758976,3.6145073958883884,3778.0,4291.0,303104.0,512.0,768.0,512.0,3584.0,0.014640142997333749,2.7072766747124004
15,5,13.427487901133713,1.3320876875355898,2.7219168177097344,5.758976,3.6145073958883884,3778.0,4291.0,303104.0,512.0,768.0,512.0,3584.0,0.014640142997333749,2.7072766747124004
16,20,13.554667231689331,1.3320876875355898,2.6439504272940004,6.070272,3.5083571168597394,3652.0,4165.0,319488.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6277807854060002
17,21,13.554667231689331,1.3320876875355898,2.6439504272940004,6.070272,3.5083571168597394,3652.0,4165.0,319488.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6277807854060002
18,23,13.554667231689331,1.3320876875355898,2.6439504272940004,6.070272,3.5083571168597394,3652.0,4165.0,319488.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6277807854060002
19,28,13.554667231689331,1.3320876875355898,2.6439504272940004,6.070272,3.5083571168597394,3652.0,4165.0,319488.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6277807854060002
20,34,13.554667231689331,1.3320876875355898,2.6439504272940004,6.070272,3.5083571168597394,3652.0,4165.0,319488.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6277807854060002
21,37,13.554667231689331,1.3320876875355898,2.6439504272940004,6.070272,3.5083571168597394,3652.0,4165.0,319488.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6277807854060002
22,6,13.586138782312753,1.3320876875355898,2.7240772363568007,5.914624,3.615349858420362,3779.0,4292.0,311296.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.7079075944688005
23,8,13.586138782312753,1.3320876875355898,2.7240772363568007,5.914624,3.615349858420362,3779.0,4292.0,311296.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.7079075944688005
24,11,13.586138782312753,1.3320876875355898,2.7240772363568007,5.914624,3.615349858420362,3779.0,4292.0,311296.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.7079075944688005
25,25,13.71331811286837,1.3320876875355898,2.646110845941067,6.22592,3.5091995793917126,3653.0,4166.0,327680.0,512.0,1280.0,1024.0,3584.0,0.017699140778666984,2.6284117051624003
26,29,13.71331811286837,1.3320876875355898,2.646110845941067,6.22592,3.5091995793917126,3653.0,4166.0,327680.0,512.0,1280.0,1024.0,3584.0,0.017699140778666984,2.6284117051624003
27,9,13.744789663491792,1.3320876875355898,2.726237655003867,6.070272,3.6161923209523352,3780.0,4293.0,319488.0,512.0,1280.0,1024.0,3584.0,0.017699140778666984,2.7085385142252
28,13,13.744789663491792,1.3320876875355898,2.726237655003867,6.070272,3.6161923209523352,3780.0,4293.0,319488.0,512.0,1280.0,1024.0,3584.0,0.017699140778666984,2.7085385142252
29,15,13.744789663491792,1.3320876875355898,2.726237655003867,6.070272,3.6161923209523352,3780.0,4293.0,319488.0,512.0,1280.0,1024.0,3584.0,0.017699140778666984,2.7085385142252
30,31,13.87196899404741,1.3320876875355898,2.648271264588134,6.381568,3.510042041923686,3654.0,4167.0,335872.0,512.0,1536.0,1280.0,3584.0,0.019228639669333598,2.6290426249188004
31,0,13.927376834045509,1.3320876875355898,2.802674546528934,6.070272,3.7223425999809847,3906.0,4419.0,319488.0,512.0,768.0,512.0,3584.0,0.014640142997333749,2.7880344035316003
32,3,14.054556164601125,1.3320876875355898,2.7247081561132003,6.381568,3.6161923209523352,3780.0,4293.0,335872.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.7085385142252
33,7,14.054556164601125,1.3320876875355898,2.7247081561132003,6.381568,3.6161923209523352,3780.0,4293.0,335872.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.7085385142252
34,10,14.054556164601125,1.3320876875355898,2.7247081561132003,6.381568,3.6161923209523352,3780.0,4293.0,335872.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.7085385142252
35,17,14.054556164601125,1.3320876875355898,2.7247081561132003,6.381568,3.6161923209523352,3780.0,4293.0,335872.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.7085385142252
36,19,14.181735495156744,1.3320876875355898,2.646741765697467,6.692864,3.510042041923686,3654.0,4167.0,352256.0,512.0,1280.0,1024.0,3584.0,0.017699140778666984,2.6290426249188004
37,27,14.181735495156744,1.3320876875355898,2.646741765697467,6.692864,3.510042041923686,3654.0,4167.0,352256.0,512.0,1280.0,1024.0,3584.0,0.017699140778666984,2.6290426249188004
38,33,14.181735495156744,1.3320876875355898,2.646741765697467,6.692864,3.510042041923686,3654.0,4167.0,352256.0,512.0,1280.0,1024.0,3584.0,0.017699140778666984,2.6290426249188004
